"Latitude","Longitude","Superficie","Volumeobligatoiretotalm","vol_SEPM_O","vol_SEPM_T","vol_OSW_O","vol_OSW_T","vol_HW_O","vol_HW_T,"Prixdevente"
47.730531,-73.060776,304,34250,11600,3700,50,3650,2450,12800,261630
47.255989,-73.4249,95,11550,4600,1000,0,2150,1000,2800,84620
47.497653,-73.028668,297,37950,14100,3150,400,5950,3100,11250,315170
47.85797,-73.25286,210,33850,20350,5050,50,3850,1050,3500,NA
48.062199,-73.550541,134,14650,11100,2750,0,250,100,450,88700
48.02088,-73.581427,418,31650,22300,7000,0,1250,200,900,251650
47.24449,-73.403414,93,9550,2500,600,50,2150,800,3450,49982.5
47.102601,-72.073982,59,3800,1550,400,0,0,700,1150,71750
45.770994,-71.571464,121,6800,1450,300,0,0,1050,4000,134065
45.996634,-71.216417,0,0,0,0,0,0,0,0,NA
46.45645,-70.519557,33,1400,850,200,0,50,100,200,NA
46.388535,-70.137984,207,20650,10550,2750,550,5400,350,1050,407308
47.460044,-72.687729,17,1175,430,115,0,320,25,285,NA
0,0,286,41050,13550,4900,0,6850,4500,11250,NA
46.440384,-70.147457,200,19000,12300,3950,0,1950,150,650,486120
45.996634,-71.216417,17,840,300,50,50,100,90,250,9015.2
45.638416,-71.181244,92,10070,6250,1150,100,920,400,1250,NA
47.160967,-69.781622,31,4150,3050,950,0,0,50,100,124968
46.503757,-70.125481,112,7650,3400,1600,50,1100,150,1350,62373
46.45645,-70.519557,33,1400,850,200,0,50,100,200,NA
46.545547,-70.055932,30,2340,1700,600,0,20,0,20,56502
46.324131,-70.341476,60,4950,3250,1400,0,0,0,300,NA
47.869146,-72.932729,369,37500,17150,3900,50,2250,3850,10300,323610
47.465014,-72.685049,299,29650,12300,3300,400,7850,300,5500,285233
47.139938,-73.58464,263,27700,11850,3850,1300,2600,1950,6150,NA
46.961584,-72.686887,82,9850,5900,1450,850,1000,50,600,234950
47.128465,-72.297586,537,37950,15850,4750,400,650,5600,10700,208485
47.931811,-70.086798,135,9450,3300,1600,0,1950,500,2100,55012.5
47.192175,-73.018574,337,36650,12250,4300,4500,6100,1900,7600,273150
47.166736,-72.460859,95,9500,4850,1900,200,50,500,2000,NA
47.520108,-73.414509,192,36450,16200,3650,350,11650,750,3850,415975
45.275727,-71.135948,87,6300,2050,450,0,700,1000,2100,124695
46.45645,-70.519557,33,1400,850,200,0,50,100,200,NA
46.324131,-70.341476,60,4950,3250,1400,0,0,0,300,NA
47.054715,-73.646096,717,75250,29200,9300,500,22800,2500,10950,619307.5
47.762207,-72.419103,377,26450,10300,3000,50,1000,4100,8000,NA
47.19048,-73.070398,133,12550,4650,2200,400,3300,350,1650,NA
47.139938,-73.58464,263,27700,11850,3850,1300,2600,1950,6150,186999
47.364883,-73.597872,377,35900,13750,3450,50,1400,4200,13050,223054
48.123475,-74.847428,277,34450,20950,4500,0,4950,850,3200,515112.5
47.857331,-69.981228,133,12150,2550,1000,50,1200,650,6700,NA
48.032842,-74.72814,286,29550,18300,7050,0,650,350,3200,364940
47.313745,-71.103699,62,9600,9600,0,0,0,0,0,NA
47.839803,-73.461084,352,37450,12300,2500,0,11950,2000,8700,NA
47.779646,-72.805058,475,46300,26650,8950,0,2200,2400,6100,390166
47.895182,-73.018833,603,54550,23200,8350,0,4900,5050,13050,206998
47.152345,-73.741721,174,23350,11150,4750,600,5650,350,850,285103.5
47.668993,-73.513077,0,0,0,0,0,0,0,0,NA
47.668993,-73.513077,578,88150,37900,11900,550,12650,5900,19250,915450
47.364846,-72.746884,226,25020,11600,2950,400,5370,1300,3400,282220
47.888616,-75.177944,300,31110,12150,3450,0,100,2860,12550,NA
47.281093,-73.67823,191,16740,8110,1870,150,710,1550,4350,NA
46.795682,-72.627758,173,14130,2150,600,50,30,3600,7700,50322.5
47.422122,-72.910335,480,39520,20100,4800,150,3020,2750,8700,NA
